AF44-C-T60-R2 	 52112494 	 52112478 	 16 	 14
AF44-C-T60-R3 	 47533950 	 47533938 	 12 	 10
AF44-C-T6-R1 	 50419032 	 50419032 	 0 	 0
AF44-C-T6-R2 	 48456638 	 48456630 	 8 	 2
AF44-C-T6-R3 	 52072232 	 52072232 	 0 	 0
AF44-I-T12-R1 	 44947478 	 44947437 	 41 	 34
AF44-I-T12-R2 	 45198306 	 45198258 	 48 	 37
AF44-I-T12-R3 	 50385632 	 50385611 	 21 	 21
AF44-I-T24-R1 	 49497794 	 49452017 	 45777 	 38896
AF44-I-T24-R2 	 52934928 	 52926360 	 8568 	 7413
AF44-I-T24-R3 	 45569382 	 45257983 	 311399 	 284643
AF44-I-T48-R1 	 51075434 	 50622655 	 452779 	 404942
AF44-I-T48-R2 	 49404766 	 49181400 	 223366 	 203144
AF44-I-T48-R3 	 50532946 	 50124520 	 408426 	 357378
AF44-I-T60-R1 	 51187592 	 51108727 	 78865 	 68347
AF44-I-T60-R2 	 52105366 	 51525714 	 579652 	 503659
AF44-I-T60-R3 	 46787286 	 46487511 	 299775 	 259162
AF44-I-T6-R1 	 47142018 	 47142016 	 2 	 2
AF44-I-T6-R2 	 59391198 	 59391198 	 0 	 0
AF44-I-T6-R3 	 48192440 	 48192440 	 0 	 0
AF44-I-T72-R1 	 47839944 	 47388689 	 451255 	 378777
AF44-I-T72-R2 	 55860640 	 55643789 	 216851 	 181767
AF44-I-T72-R3 	 52551192 	 52277871 	 273321 	 222602
AF9-C-T0-R1 	 38514806 	 38514804 	 2 	 2
AF9-C-T0-R2 	 48647874 	 48647874 	 0 	 0
AF9-C-T0-R3 	 53669812 	 53669812 	 0 	 0
AF9-C-T60-R1 	 43715224 	 43715159 	 65 	 63
AF9-C-T60-R2 	 49433836 	 49433776 	 60 	 51
AF9-C-T60-R3 	 45515488 	 45515346 	 142 	 131
AF9-C-T6-R1 	 51201862 	 51201836 	 26 	 18
AF9-C-T6-R2 	 49652090 	 49651956 	 134 	 115
AF9-C-T6-R3 	 46313774 	 46313752 	 22 	 20
AF9-I-T12-R1 	 50863278 	 50863264 	 14 	 12
AF9-I-T12-R2 	 57876382 	 57876344 	 38 	 32
AF9-I-T12-R3 	 50558702 	 50558702 	 0 	 0
AF9-I-T24-R1 	 49418516 	 49352190 	 66326 	 56855
AF9-I-T24-R2 	 54803482 	 54765595 	 37887 	 33849
AF9-I-T24-R3 	 56109732 	 56094990 	 14742 	 12743
AF9-I-T48-R1 	 52690202 	 52454004 	 236198 	 212407
AF9-I-T48-R2 	 51203342 	 51012592 	 190750 	 172653
AF9-I-T48-R3 	 48094058 	 47896462 	 197596 	 178266
AF9-I-T60-R1 	 45902466 	 45829989 	 72477 	 64156
AF9-I-T60-R2 	 37258354 	 37196541 	 61813 	 54987
AF9-I-T60-R3 	 47466926 	 47330472 	 136454 	 115892
AF9-I-T6-R1 	 45910812 	 45910696 	 116 	 106
AF9-I-T6-R2 	 43680176 	 43680166 	 10 	 8
AF9-I-T6-R3 	 51537582 	 51537568 	 14 	 14
